"","site_name","Latitude_manual","Longitude_manual","lew_go","yrk_go","lew_gothin","yrk_gothin"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0487840612365374,0.0315487455851643,0.0383533470419081,0.025021193115024
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0202235571843094,0.0286161808095483,0.0172660278622927,0.0228732398083144
"3","CC_VA_2022-7-11",37.616617,-75.663933,0.0103938233753205,0.0243045086455101,0.00862889431454718,0.0211417675003061
"4","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0188710489262592,0.0326872440985698,0.0138887034951681,0.0241843033267298
"5","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0126181712528261,0.0102618650335483,0.010655348135307,0.00930579673020365
"6","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.01661071176939,0.0248601911311244,0.0153698671791823,0.021007042615072
"7","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0500378112454303,0.0331208864399458,0.0408198046995813,0.0283694048043481
"8","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0264946104076544,0.032882856534704,0.022343647267027,0.0259803654075041
"9","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0106642849283907,0.0222044029280848,0.00885096429220757,0.0183519486271638
"10","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0150533342902591,0.0189959260762868,0.0121093389702675,0.0138500693069854
"11","GalBay_TX_2022-6-2",29.5475,-94.90361,0.0116817229433303,0.0203643071907789,0.0111812521374284,0.0177998805496111
"12","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0217384512487221,0.0269726583758425,0.0176921296782925,0.0206993701823315
"13","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.013973219456791,0.0143562289174875,0.0119749713171426,0.0131827984347357
"14","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0257519739955372,0.0323185972993683,0.0218063145725337,0.0256958367010617
"15","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0123016512137263,0.0258456642437975,0.0111597816920056,0.0217551734806202
"16","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.0110052489052306,0.0193150946567774,0.00871160156521682,0.0179015845435575
"17","Mer_GA_2022-7-26",31.453512,-81.363169,0.0219234972574696,0.0266195667507591,0.0177242614337912,0.0199384677442643
"18","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0105124101448858,0.0212738807195982,0.0104086701789141,0.0189515646500869
"19","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0241049771366984,0.024202444823818,0.0183564562762413,0.0164528500457405
"20","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0361722163132353,0.0198089769784295,0.0303874947069337,0.0170054012108164
"21","SaLa_GA_2022-10-5",29.785,-93.91806,0.0196092546966455,0.0276491425141327,0.0182186615994919,0.0240389414316379
"22","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0411584558177599,0.0334607012130018,0.0306031591308406,0.0270457905949281
"23","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0224656725924153,0.0298230348771922,0.0174110399611243,0.0221342366890862
"24","SawIs_MA_2022-9-5",42.751733,-70.83657,0.0452283275833185,0.0279085535251809,0.0401809098275091,0.0247923054208045
"25","SkR_GA_2022-6-14",31.98995,-81.02173,0.0185747408421754,0.0302368047726168,0.0139092889537821,0.0227415888228088
"26","TP_TX_2022-6-28",28.6936,-96.2233,0.0191292645170477,0.0306777023832259,0.0158682105453915,0.0243179128721173
"27","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0165551820265793,0.0244662282063318,0.0127328518438589,0.0185588938508639
"28","CB_TX_2022-6-9",28.096,-97.174,0.0299583206475243,0.0447718907105801,0.0250033100432958,0.0361685213295489
"29","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.0649679775208428,0.0368667094091011,0.05541326133726,0.0317011882177342
"30","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0378165410194922,0.0396069984471971,0.0291260727797035,0.0280610137674786
"31","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.0143025590903012,0.0265875712279347,0.0125990103783316,0.0218089022029035
"32","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.039206106172671,0.0296740814458872,0.0320161242076889,0.0251969431621787
"33","WS_CB_VA_2022-10-7",37.063817,-76.562783,0.0369117092177229,0.0065904374770358,0.0336670715595251,0.00587710384998433
