"","site_name","Latitude_manual","Longitude_manual","lew_go","yrk_go"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.130855275488015,0.0476513419037242
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0401118522490331,0.0400306333187394
"3","CC_VA_2022-7-11",37.616617,-75.663933,0.0210506000397764,0.00957259357980802
"4","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.037328750102213,0.039613149244389
"5","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.042101794870144,0.0121173574863286
"6","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.0328729193981341,0.0360522979385278
"7","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.169536586032295,0.0734741889583978
"8","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0528571378099475,0.0478476475779852
"9","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0522415901989264,0.0168455143867815
"10","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0622840390878763,0.0228540584291443
"11","GalBay_TX_2022-6-2",29.5475,-94.90361,0.022373971726018,0.0237699165829373
"12","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0381456790745801,0.024870318241657
"13","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.031249606420428,0.0105014366198585
"14","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0538921172190442,0.0464181536032428
"15","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0287535487999835,0.0282983573229384
"16","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.022192127093421,0.00878429729407576
"17","Mer_GA_2022-7-26",31.453512,-81.363169,0.0700427205264787,0.034609730693359
"18","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0190598575349962,0.0256960953345699
"19","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0390491986842307,0.021777875591273
"20","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.130193687033643,0.0648399843656767
"21","SaLa_GA_2022-10-5",29.785,-93.91806,0.043762735253797,0.0360232648024314
"22","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.148052211394148,0.106973883918073
"23","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0613909132705842,0.0314215769323624
"24","SawIs_MA_2022-9-5",42.751733,-70.83657,0.118767352067594,0.0399478394270059
"25","SkR_GA_2022-6-14",31.98995,-81.02173,0.076223591615031,0.0299665975121766
"26","TP_TX_2022-6-28",28.6936,-96.2233,0.0425685281051915,0.0439661501167655
"27","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0626365722893551,0.0186192826167463
"28","CB_TX_2022-6-9",28.096,-97.174,0.0564410370900696,0.0629771313266153
"29","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.222673435337587,0.13098763401693
"30","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0803433110803342,0.0452265314211171
"31","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.0304110373423167,0.0351644125510499
"32","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.113171238492962,0.042370791623781
"33","WS_CB_VA_2022-10-7",37.063817,-76.562783,0.0697346378235134,0.00282873518352595
"34","S1_LOLA",37.9803,-76.4619,0.00118466250466819,0.00416240329565466
"35","S2_DEBY",37.247284,-76.499369,0.0329833039452194,0.000590294235960415
