"","site","pop","mean_surv","sd_surv","se_surv","col"
"1","Lewisetta","DEBY",0.659179672301017,0.0353501117916645,0.0204093965588009,"red"
"2","Lewisetta","FL",0.8135387164014,0.0287243093048379,0.0165839877094342,"red"
"3","Lewisetta","JR",0.666655579097471,0.0604260861981018,0.0348870171325496,"red"
"4","Lewisetta","LA",0.687955247647206,0.0210039922864057,0.0121266606006131,"red"
"5","Lewisetta","LARMIX",0.688036081264801,0.0678684366729128,0.0391838601825853,"red"
"6","Lewisetta","LOLA",0.702705703019133,0.0702729657394022,0.0405721156863972,"red"
"7","Lewisetta","ME",0.543913652175707,0.0200515776574742,0.0115767837582194,"red"
"8","Lewisetta","NH",0.439872732877512,0.130472278179154,0.075328204928518,"red"
"9","Lewisetta","SEEDMIX",0.63982734302913,0.0381878353170752,0.0220477570000825,"red"
"10","Lewisetta","TX",0.74625048645151,0.0117781349947063,0.00680010940974542,"red"
"11","York River","DEBY",0.738457308293745,0.100793508124197,0.0581931590480721,"blue"
"12","York River","FL",0.776609873764428,0.0882350193260656,0.0509425121598558,"blue"
"13","York River","JR",0.626419504939196,0.112647080030711,0.0650368219791562,"blue"
"14","York River","LA",0.958163399230314,0.0566588222595353,0.0327119862835099,"blue"
"15","York River","LARMIX",0.804537923767833,0.0550068362552957,0.0317582117192646,"blue"
"16","York River","LOLA",0.86912741909882,0.0105754098842771,0.00610571574347803,"blue"
"17","York River","ME",0.503121492877825,0.174076118834564,0.100502894068621,"blue"
"18","York River","NH",0.486231643090153,0.00997121159853902,0.00575688170056322,"blue"
"19","York River","SEEDMIX",0.759223854794485,0.0288932090251998,0.0166815020084512,"blue"
"20","York River","TX",0.897908252635133,0.045535489488277,0.0262899271137381,"blue"
